Term,Garda,Crime
assault,,crime
garda,garda,
abduction,,crime
rape,,crime
homicide,,crime
offence,,crime
violation,,crime
victim,,crime
criminal,,crime
crime,,crime
charge,,crime
attack,,crime
burglary,,crime
murder,,crime
molestation,,crime
abuse,,crime
kidnapping,,crime
theft,,crime
thief,,crime
police,garda,
cops,garda,
speeding,,crime
gardaí,garda,
assassination,,crime
assassin,,crime
kill,,crime
killing,,crime
stab,,crime
stabbing,,crime
slander,,crime
arson,,crime
riot,,crime
blackmail,,crime
robbery,,crime
treason,,crime
terrorism,,crime
mug,,crime
perjury,,crime
fraud,,crime
forgery,,crime
hijack,,crime
carjack,,crime
stalk,,crime
shoplift,,crime
shooting,,crime
violence,,crime
bribery,,crime
smuggling,,crime
officer,garda,
garda síochána,garda,
garda siochana,garda,
enforcement,garda,
detection,garda,crime
prevention,garda,crime
service,garda,
investigation,garda,crime
emergency,garda,crime
unit,garda,
offendor,,crime
bloodshed,,crime
carnage,,crime
felony,,crime
infraction,,crime
transgression,,crime
misdeed,,crime
misconduct,,crime
villainy,,crime
wrongdoing,,crime
scandal,,crime
misdemeanor,,crime
atrocity,,crime
case,,crime
evil,,crime
lawless,,crime
lawlessness,,crime
illegal,,crime
infringement,,crime
criminality,,crime
racket,,crime
reserve,garda,
sergeant,garda,
inpector,garda,
superintendent,garda,
chief,garda,
deputy,garda,
commissioner,garda,
handcuffs,garda,crime
cuffs,garda,crime
constabulary,garda,
detective,garda,
CID,garda,
informer,garda,
armed,garda,crime
intelligence,garda,
threat,,crime
patrol,garda,
traffic,garda,
guard,garda,
guards,garda,
force,garda,
plain-clothes,garda,
plain-clothed,garda,
civic,garda,
jurisdiction,garda,
policing,garda,
constable,garda,
allegation,,crime
lawsuit,,crime
legal,,crime
evidence,garda,crime
accused,garda,crime
arrest,garda,crime
collusion,,crime
gun,,crime
station,garda,
justice,garda,crime
inquiry,garda,
whistleblower,garda,
order,garda,
procedure,garda,
scene,garda,crime
forensic,garda,crime
ballistics,garda,crime
discharged,garda,
regulation,garda,
incident,,crime
drugs,garda,crime
heroin,,crime
meth,,crime
cocaine,,crime
security,garda,
ERU,garda,
NSU,garda,
surveillance,garda,
post-mortem,garda,
tamper,,crime
court,garda,crime
witness,garda,crime
suspect,garda,crime
custody,garda,
CSI,garda,crime
parole,,crime
inspectorate,garda,
policing,garda,
authority,garda,
authorities,garda,
law,garda,
penalty,,crime
sanction,garda,crime
sentence,garda,crime
judgement,,crime
judge,,crime
ruling,,crime
prison,,crime
jail,,crime
penitentiary,,crime
prisoner,,crime
crimestopper,garda,crime
vetting,garda,
drink-driving,,crime
penal,,crime
punitive,,crime
manslaughter,,crime
lynching,,crime
copper,garda,
lawman,garda,
lawmen,garda,
prosecute,,crime
prosecutor,,crime
captain,garda,
cruiser,garda,
RMP,garda,
negligence,,crime
threaten,,crime
weapon,,crime
damage,,crime
bomb,,crime
knife,,crime
cannabis,,crime
ecstasy,,crime
ketamine,,crime
crack,,crime
methadone,,crime
mephedrone,,crime
LSD,,crime
amphetamines,,crime
deception,,crime
legislation,,crime
break-in,,crime
heist,,crime
piracy,,crime
vandalism,,crime
extortion,,crime
embezzlement,,crime
thievery,,crime
looting,,crime
stealing,,crime
narcotic,,crime
poison,,crime
intrusion,,crime
intruder,,crime
raid,garda,crime
invasion,,crime
invader,,crime
capture,garda,
imprisonment,,crime
imprison,,crime
incarcerate,,crime
incarceration,,crime
detention,,crime
aggravated,,crime
indecent,,crime
explotation,,crime
soliciting,,crime
incest,,crime
defile,,crime
defilement,,crime
possession,,crime
trafficking,,crime
grooming,,crime
commit,,crime
committed,,crime
prosecution,,crime
hate,,crime
importune,,crime
importuning,,crime
harass,,crime
harassment,,crime
loitering,,crime
prostitution,,crime
prostitute,,crime
barring,garda,crime
protection,garda,
protect,garda,
gang,,crime
fined,garda,crime
fine,garda,crime
scam,,crime
defraud,,crime
fraudulent,,crime
cheat,,crime
stolen,,crime
unsolicited,,crime
 non-consensual,,crime
fake,,crime
gangland,,crime
underworld,,crime
report,garda,crime
inform,garda,crime
fraudster,,crime
destruction,,crime
disturbance,,crime
perpetrator,,crime
killer,,crime
libel,,crime
spiked,,crime
malicious,,crime
vicious,,crime
abusive,,crime
drugged,,crime
deceit,,crime
deception,,crime
hoax,,crime
hustle,,crime
con,,crime
conman,,crime
sting,garda,
operation,garda,
phishing,,crime
